ym,slope,n,influence,gamma_without_month
2020-11,-0.140127678861369,3297,-0.0002801832700988719,-0.01144670524435404
2020-12,-0.17701436925001793,3298,-0.00014770812884587307,-0.011579180385607039
2021-01,0.16160680940475222,3297,0.0007699533611249323,-0.012496841875577844
2021-02,0.10526301471571468,3306,0.00040459827007184763,-0.01213148678452476
2021-03,0.10003890685383929,3311,0.0001137569120237842,-0.011840645426476696
2021-04,0.024046495933508535,3300,0.00012938813813906727,-0.01185627665259198
2021-05,0.2682897622380961,3302,0.0005105699890914604,-0.012237458503544373
2021-06,-0.08290483317377556,3298,-0.0003422371891667105,-0.011384651325286202
2021-07,-0.10139280560578434,3307,-0.0007662924059096288,-0.010960596108543283
2021-08,-0.11265624670995718,3324,-0.0007101198983557652,-0.011016768616097147
2021-09,0.02752287625914199,3338,0.0002454793646355941,-0.011972367879088506
2021-10,-0.24443575098500794,3362,-0.0008543709029080002,-0.010872517611544912
2021-11,-0.1631239717619657,3389,-0.00034407743491016163,-0.01138281107954275
2021-12,0.14005170018293425,3414,0.00038296825679887993,-0.012109856771251792
2022-01,0.04368288091958447,3451,-5.263678837698002e-05,-0.011674251726075932
2022-02,-0.1903294718556015,3484,-0.0006022001333917913,-0.01112468838106112
2022-03,-0.09211533516201131,3530,-0.0005709874373764929,-0.01115590107707642
2022-04,-0.0027189871855061052,3614,4.94930995472518e-05,-0.011776381614000164
2022-05,0.16260532925591656,3684,0.0004948942409912366,-0.012221782755444149
2022-06,-0.059443335655741315,3734,0.0003032126533597315,-0.012030101167812644
2022-07,-0.10232358587618495,3773,-0.0003865915094153887,-0.011340297005037523
2022-08,-0.18374877102903317,3839,-0.000988626424889923,-0.010738262089562989
2022-09,0.11987319652597915,3865,0.0006033533788228213,-0.012330241893275733
2022-10,0.10250464352572505,3882,0.0010173563105772623,-0.012744244825030174
2022-11,-0.008666217012879073,3919,0.00016918599078367957,-0.011896074505236592
2022-12,-0.010912274257275189,3896,-0.0007223090086166221,-0.01100457950583629
2023-01,0.14547627993166837,3912,-7.528882914522791e-05,-0.011651599685307684
2023-02,-0.0016171248254637381,3919,-3.5263830301529575e-05,-0.011691624684151383
2023-03,0.06352695900084765,3911,0.00014356088350381963,-0.011870449397956732
2023-04,0.026390691945210557,3909,-0.00044822299785732614,-0.011278665516595586
2023-05,0.0591844919391322,3906,-0.00012751816614528858,-0.011599370348307624
2023-06,-0.13999294754103048,3890,-0.0007094494848184276,-0.011017439029634485
2023-07,-0.1502368696924019,3872,-0.0005511171327520128,-0.0111757713817009
2023-08,-0.19324598974923843,3847,-0.000800146969379429,-0.010926741545073483
2023-09,0.04009370728335913,3847,0.0004777992457147759,-0.012204687760167688
2023-10,0.11208645770292819,3829,0.00037242503030448376,-0.012099313544757396
2023-11,0.2609505025754453,3805,0.0013575173551732597,-0.013084405869626172
2023-12,-0.09764651114956578,3763,-0.001054312921253053,-0.01067257559319986
