permno,io_persist,me_mean,log_me_mean,iv_mean,mom_mean,ret_mean,tercile,siccd,nm,state,me_mean_M,sic_div,me_q
10371,0.28109715840165467,37.14545625,3.3466298933403587,0.7709711197210205,-0.11337611101138474,0.20989790833333336,1,3840,12,US-MA,0.03714545625,Manufacturing,Q1 micro
10375,0.5795882426721781,2525.243286692913,7.7997373621799655,-0.5760676484860948,-0.042730336570878706,0.008026086614173228,2,6021,127,US-MI,2.525243286692913,FIRE,Q4
10382,0.6834307572055013,958.8547878888888,6.825749219097439,-0.442916120675721,-0.020104167289597002,0.007425927777777778,3,3510,180,US-TN,0.9588547878888888,Manufacturing,Q4
10397,0.5672462957800181,2142.478968652778,7.636987461591501,-0.6208527332308733,0.09221043554500989,0.009933344444444445,2,4210,180,US-NE,2.142478968652778,Transp/Util,Q4
10404,0.3483907720203445,109.60666,4.687149681092416,-0.020736728145486275,0.11791052109319282,0.03647408521739131,2,7389,23,US-IL,0.10960666000000001,Services,Q2
10421,0.6746376456841111,1406.7872876666668,7.073085319778706,-0.16930715116172126,0.14188515613444486,0.01465280422222222,3,4510,180,US-UT,1.4067872876666667,Transp/Util,Q4
10443,0.2488088676036261,381.71238733333337,5.887975833776499,-0.3584550921300069,0.03585891165250026,0.009900127777777778,1,4210,180,US-FL,0.38171238733333335,Transp/Util,Q3
10463,0.07966482154773721,78.34592936777777,4.256160846394322,0.6027471812551973,-0.05458264819908662,0.007164639000000006,1,3670,180,US-NY,0.07834592936777778,Manufacturing,Q2
10501,0.6210645957972685,901.5647878055556,6.588280962228264,-0.21297220968052047,0.1952966770313784,0.017859827777777778,3,2430,180,US-VA,0.9015647878055556,Manufacturing,Q4
10507,0.4746806936366283,135.4064607246377,4.822525537005883,0.25764458206822893,-0.245510543665724,0.01465499521739129,2,3840,69,US-NY,0.1354064607246377,Manufacturing,Q2
10516,0.5753391020319043,26872.532089666664,10.154577841371374,-0.7434382932984936,0.07253958043343468,0.009504194444444445,2,2075,180,US-IL,26.872532089666663,Manufacturing,Q5 mega
10517,0.5822987684466441,2117.2993238333333,7.400371072124652,-0.30303686957968623,0.14404249707993663,0.01345295,2,5722,180,US-UT,2.1172993238333335,RetailTrade,Q4
