wave,state,band,band_lbl,pass3,n_raw,n_eff,mandate_exposure
2012,IA,5,55-64,0.29086310367585977,104,100.66682048345506,0.0
2012,IA,6,65+,0.3303056509320712,101,99.61577357135381,0.0
2012,ID,1,18-24,0.04709460748684547,58,52.57679318947295,0.8571428571428571
2012,ID,2,25-34,0.16009259312285112,84,77.46289577225907,0.0
2012,ID,3,35-44,0.13929107133809174,81,76.25866906704051,0.0
2012,ID,4,45-54,0.23315779784020219,91,87.80362486452398,0.0
2012,ID,5,55-64,0.3669712041998941,91,87.35526332414176,0.0
2012,ID,6,65+,0.4304230981043087,95,91.86507139722241,0.0
2012,IL,1,18-24,0.14717251298161385,54,47.269810099743225,1.0
2012,IL,2,25-34,0.14081754904451776,91,80.34136087204124,1.0
2012,IL,3,35-44,0.26646239129725136,90,83.93200372021181,1.0
2012,IL,4,45-54,0.2590084730297985,103,98.02857888694554,1.0
2012,IL,5,55-64,0.2863511036401935,92,87.8969538513158,0.6
2012,IL,6,65+,0.419654830714271,70,68.72748847413727,0.0
2012,IN,1,18-24,0.13517517626782696,52,49.50206727608307,0.0
2012,IN,2,25-34,0.17497700017599355,84,76.50110018497712,0.0
2012,IN,3,35-44,0.23430870671527723,87,83.6727474392856,0.0
2012,IN,4,45-54,0.23151806682977827,101,96.95695645394308,0.0
2012,IN,5,55-64,0.280461136683196,95,92.52377052653722,0.0
2012,IN,6,65+,0.34136999317543587,81,78.83717887700706,0.0
2012,KS,1,18-24,0.07767091932963145,44,40.06899959139565,0.14285714285714285
2012,KS,2,25-34,0.18535231887228132,91,81.60262229561675,0.0
2012,KS,3,35-44,0.28548694130268354,84,77.35103454114874,0.0
2012,KS,4,45-54,0.2978077618320685,100,95.66270444260032,0.0
2012,KS,5,55-64,0.26869730437291844,89,84.15922912734635,0.0
2012,KS,6,65+,0.24292041540508333,92,90.16067363172945,0.0
2012,KY,1,18-24,0.09209084608646177,48,44.725749183419545,0.0
2012,KY,2,25-34,0.17801147922510685,78,74.40862555419181,0.0
2012,KY,3,35-44,0.16375201567349423,83,78.54296114254417,0.0
2012,KY,4,45-54,0.1837262973120908,111,106.85454243044134,0.0
2012,KY,5,55-64,0.2983900933774232,94,91.68993628311677,0.0
2012,KY,6,65+,0.1929439000281012,86,84.34959039093005,0.0
2012,LA,1,18-24,0.09678919467751959,53,47.25823175549408,1.0
2012,LA,2,25-34,0.10649794789939021,94,87.97242474542827,0.1
2012,LA,3,35-44,0.22256721704435592,92,88.73254194583139,0.0
2012,LA,4,45-54,0.39689558925465435,100,94.39199253050957,0.0
2012,LA,5,55-64,0.24166845616176819,91,89.03033081572393,0.0
2012,LA,6,65+,0.38460373512999585,70,68.84269427562069,0.0
2012,MA,1,18-24,0.04745066811138223,50,45.65551434557762,0.0
2012,MA,2,25-34,0.22544825398420895,83,76.1835776354905,0.0
2012,MA,3,35-44,0.2013494148293314,80,74.89930115389853,0.0
2012,MA,4,45-54,0.39491224832095834,102,96.37357320715317,0.0
2012,MA,5,55-64,0.3803083827228081,94,90.69078745073355,0.0
2012,MA,6,65+,0.40010114711189815,92,89.1731848403863,0.0
2012,MD,1,18-24,0.21203305734719521,45,41.404525898751984,0.0
2012,MD,2,25-34,0.19541889099817408,90,78.7708931980304,0.0
2012,MD,3,35-44,0.30358783990035165,84,78.56400776809458,0.0
2012,MD,4,45-54,0.3184558880687664,110,105.02019651534656,0.0
2012,MD,5,55-64,0.402620254188958,92,89.12250915761241,0.0
2012,MD,6,65+,0.37160823568504553,79,76.02451796185059,0.0
2012,ME,1,18-24,0.18152145274226317,45,42.804412664215455,0.0
2012,ME,2,25-34,0.09906245445159675,67,63.19186522825285,0.0
2012,ME,3,35-44,0.23983272316945853,75,72.06582670246681,0.0
2012,ME,4,45-54,0.2589578460401268,109,105.59592481700666,0.0
2012,ME,5,55-64,0.3198245444801049,100,97.26109117143098,0.0
2012,ME,6,65+,0.3203378684381482,104,100.33026756269774,0.0
2012,MI,1,18-24,0.057386577571734425,54,50.724383248262924,1.0
2012,MI,2,25-34,0.1840119044200124,74,69.0815213315367,0.8
2012,MI,3,35-44,0.28357925997907707,80,75.32450970032377,0.0
2012,MI,4,45-54,0.20950363362009045,110,104.43936842090883,0.0
2012,MI,5,55-64,0.30751484226834536,98,94.09389380172618,0.0
2012,MI,6,65+,0.2949192718009598,84,82.9343621739138,0.0
2012,MN,1,18-24,0.07801918445091173,39,37.117011137909174,0.0
2012,MN,2,25-34,0.21526228849136922,95,86.40723624070225,0.0
2012,MN,3,35-44,0.2781806597075291,86,81.66297070437896,0.0
2012,MN,4,45-54,0.28875733974465717,105,102.28214580907233,0.0
2012,MN,5,55-64,0.30851834482202967,83,80.2070586884332,0.0
2012,MN,6,65+,0.3710508415817145,93,90.37392335705289,0.0
2012,MO,1,18-24,0.16240803946920945,50,45.3118739340075,0.42857142857142855
2012,MO,2,25-34,0.14421742359068881,85,79.9647502194695,0.0
2012,MO,3,35-44,0.1825751747887158,79,75.41629648621874,0.0
2012,MO,4,45-54,0.2716110081957761,106,102.31665794375851,0.0
2012,MO,5,55-64,0.36976024041772443,90,87.32350684524488,0.0
2012,MO,6,65+,0.4748150511553665,90,86.91182409519395,0.0
2012,MS,1,18-24,0.16151861910706486,65,60.06328337789449,0.0
2012,MS,2,25-34,0.1226046086410797,88,80.38347214749339,0.0
2012,MS,3,35-44,0.2045082289141428,84,81.30192427883111,0.0
2012,MS,4,45-54,0.2477889932810375,96,93.71356847535246,0.0
2012,MS,5,55-64,0.1779270984750839,87,84.58338040423169,0.0
2012,MS,6,65+,0.3485984107058989,80,76.81487025732123,0.0
2012,MT,1,18-24,0.1626665539206155,36,33.793442894446024,0.0
2012,MT,2,25-34,0.14991962899094194,76,69.80332152243847,0.0
2012,MT,3,35-44,0.28248993039306547,83,77.71837563873991,0.0
2012,MT,4,45-54,0.3017948849398013,95,91.86637056457779,0.0
2012,MT,5,55-64,0.31316351036489953,108,103.95603985108062,0.0
2012,MT,6,65+,0.3410013162580281,102,98.90192138505529,0.0
2012,NC,1,18-24,0.14651839429020613,59,52.690331372936164,1.0
2012,NC,2,25-34,0.18735801392335713,77,70.53591802741235,0.1
2012,NC,3,35-44,0.259931675342995,86,80.85841280207411,0.0
2012,NC,4,45-54,0.24670811809862908,101,96.80347282026119,0.0
2012,NC,5,55-64,0.3217879964979753,89,85.49767604058634,0.0
2012,NC,6,65+,0.36409659849458037,88,85.94022147282807,0.0
2012,ND,1,18-24,0.09319641865142922,63,58.97157774661114,0.2857142857142857
2012,ND,2,25-34,0.09071541808334013,82,77.03273240824257,0.0
2012,ND,3,35-44,0.2578036793013437,75,70.34442842092822,0.0
2012,ND,4,45-54,0.29621415839823684,105,99.49654720353065,0.0
2012,ND,5,55-64,0.33631552185370395,91,88.76585349267462,0.0
2012,ND,6,65+,0.4376172196552004,84,80.85648952565738,0.0
2012,NE,1,18-24,0.13150743590858108,48,43.41919616815314,0.0
2012,NE,2,25-34,0.1675512977965791,85,79.68267358231715,0.0
2012,NE,3,35-44,0.29701159911088826,75,72.07749317884084,0.0
2012,NE,4,45-54,0.2409754709510218,106,100.54255677397123,0.0
2012,NE,5,55-64,0.3384598707330427,90,86.60894044680056,0.0
2012,NE,6,65+,0.3474234130308123,96,93.48772663724273,0.0
2012,NH,1,18-24,0.09656106747256263,29,27.034539034703528,1.0
2012,NH,2,25-34,0.2142674997844004,65,59.73242480582573,1.0
2012,NH,3,35-44,0.20140626077940807,88,84.98182742026756,0.3
2012,NH,4,45-54,0.32022329269607475,117,112.24420346510769,0.0
2012,NH,5,55-64,0.33119448742420493,104,100.21081478274394,0.0
2012,NH,6,65+,0.316016524081393,97,94.14844182347962,0.0
2012,NJ,1,18-24,0.163308925989287,53,48.7528122067407,0.0
2012,NJ,2,25-34,0.19893305189894595,84,75.80409454458464,0.0
2012,NJ,3,35-44,0.2589857356022313,79,72.78086241238209,0.0
2012,NJ,4,45-54,0.3653531814570077,111,104.57268324846682,0.0
2012,NJ,5,55-64,0.30569004972202685,102,96.0418094217123,0.0
2012,NJ,6,65+,0.3750638200249961,71,68.21245826984165,0.0
2012,NM,1,18-24,0.09723533583411298,47,41.75678203808062,0.0
2012,NM,2,25-34,0.19016085912164052,108,94.04972052503042,0.0
2012,NM,3,35-44,0.2803570399752109,88,80.35334017264249,0.0
2012,NM,4,45-54,0.28383098312859206,90,81.21705994574677,0.0
2012,NM,5,55-64,0.29254008920713104,91,81.90869899972928,0.0
2012,NM,6,65+,0.27931529481427375,77,70.92871213787237,0.0
2012,NV,1,18-24,0.14256811423244187,57,51.4882225307198,0.0
2012,NV,2,25-34,0.18356232675975231,109,97.98035289409695,0.0
2012,NV,3,35-44,0.10589900205811335,76,68.79883158010038,0.0
2012,NV,4,45-54,0.2376136650788236,100,94.77204873831015,0.0
