ym,slope,se_hc1,se_state,n,n_states
2013-03,0.056733629685405004,0.04967849138119247,0.03786114776382881,3357,51
2013-04,0.08843462006077649,0.053956813790649455,0.03766053916279896,3353,51
2013-05,0.1181528259845055,0.05550967467704918,0.053861298831209374,3351,51
2013-06,-0.08405344182530941,0.06018986362948743,0.05230006656298072,3347,51
2013-07,0.05984729974801623,0.046420560751437585,0.05169356341187557,3331,51
2013-08,-0.042731116571627606,0.06229535077473966,0.0736276567364146,3332,51
2013-09,-0.07909835011239451,0.0512576039299417,0.055323398379770565,3328,51
2013-10,0.00846991086961828,0.06086310919375362,0.0458328095572634,3314,51
2013-11,-0.07350126422529514,0.05788759105161087,0.05962790197156497,3311,51
2013-12,-0.060557823710004226,0.06574296178350361,0.046397479653342115,3304,51
2014-01,-0.012332828081129149,0.0750368511044486,0.07319793969217243,3302,51
2014-02,0.021736230443455566,0.0673726276634787,0.055111361567155064,3286,51
2014-03,-0.005882088888432053,0.05851028256529067,0.057896956812975034,3287,51
2014-04,0.059306347817749225,0.04160426654201415,0.015944330545636286,3285,51
2014-05,-0.127705738388712,0.04263403302682231,0.026809275511994933,3289,51
2014-06,0.04666632494112227,0.041685646788792816,0.028823684553307662,3304,51
2014-07,-0.015990264621565928,0.0554535443917015,0.02640535142816368,3308,51
2014-08,0.04236113804391399,0.06291046641218379,0.045861567331286886,3314,51
2014-09,-0.0018837407858368572,0.052970451884674113,0.04826238451087708,3320,51
2014-10,0.028475914082578452,0.06362930756599726,0.07629914031890044,3329,51
2014-11,0.003563128673681727,0.07469860709853722,0.05238120957718071,3333,51
2014-12,-0.05390993195939924,0.05140610208234192,0.048087356020132775,3339,51
2015-01,-0.1043277192154915,0.04564840821178816,0.06588751367463147,3335,51
2015-02,-0.034899168333584224,0.041280377364212396,0.042653681325736714,3338,51
2015-03,0.13958157862638434,0.08081162444650665,0.06444408088196658,3343,51
2015-04,0.04260727860105734,0.07974609793973832,0.05822797252751552,3363,51
2015-05,0.005838082724272561,0.0848544245250591,0.08735647780595934,3378,51
2015-06,0.10902764675608297,0.08106696225195874,0.08619489467418695,3385,51
2015-07,-0.07585894168508299,0.08928321175205546,0.05556237986823059,3386,51
2015-08,0.10621917537846545,0.12091229754971516,0.09345933544862164,3408,51
2015-09,-0.02840945239174023,0.07162293282093828,0.05860922552644059,3415,51
2015-10,0.2666230438808742,0.09169402588491854,0.07260080849188309,3398,51
2015-11,-0.08411415114394205,0.055996928370515696,0.05272022698593492,3415,51
2015-12,0.0978661861151196,0.09019535724742887,0.07366891176100956,3417,51
2016-01,0.0012294002773329965,0.08588224227161483,0.06718746850317937,3408,51
2016-02,0.15488781986263947,0.12664253429064898,0.07734029373611227,3397,51
2016-03,0.07890558423525114,0.01124008410948999,0.06313750731833932,3394,51
2016-04,-0.01912923122474443,0.10022780548558015,0.06485117023148514,3385,51
2016-05,-0.06157996795091544,0.10798714811454335,0.0851963880087275,3373,51
2016-06,-0.012560933776560838,0.03489450084244691,0.022179943427120645,3376,51
2016-07,-0.14726506960865166,0.09986718446131075,0.09824206756480305,3379,51
2016-08,-0.01599527887547154,0.09168264734475966,0.0693986732226664,3390,51
2016-09,0.026526933687022684,0.10260486343119875,0.09176923843109777,3377,51
2016-10,-0.032664545602176936,0.055285835871492904,0.07232098054187987,3367,51
2016-11,0.017676682817885633,0.09145454874088263,0.05183002611469689,3363,51
2016-12,-0.09968565192766907,0.10691498289269716,0.05781005263521667,3362,51
2017-01,-0.03183913288430459,0.08368829188222643,0.06079005775694817,3355,51
2017-02,-0.025132991781310572,0.12633746012163014,0.1449763383273107,3336,51
2017-03,-0.1068760095326946,0.08352173566235924,0.05812692104558522,3323,51
2017-04,0.09033409009271862,0.06827993762742743,0.0645625279049109,3311,51
2017-05,-0.10427349183833101,0.09265357894974105,0.07733470571736567,3305,51
2017-06,0.06047716660949503,0.08535682967435364,0.08672196346192194,3300,51
2017-07,-8.37492616706904e-05,0.02360562776638442,0.020052856141793196,3300,51
2017-08,0.044126008256700176,0.09237558151031708,0.0668496043760434,3304,51
2017-09,-0.051783736695345556,0.09585162932247306,0.06782303424473825,3293,51
2017-10,0.09520361173408336,0.09320127185435632,0.05218394253790319,3279,51
2017-11,-0.14602736897264595,0.13199222341518216,0.08612658238955416,3278,51
